fecha,proceso,sin_asignar
2025-05-23,CCM,838
2025-05-23,PRR,1066
2025-05-26,CCM,1146
2025-05-26,PRR,1426
2025-05-27,CCM,1313
2025-05-27,PRR,1516
2025-05-28,CCM,1511
2025-05-28,PRR,1588
